"名称","住所","住所1","住所2","住所3","電話","FAX","利用時間","階数","定休日","駐車場","敷地内の状況および施設入口","誘導施設","案内設備","昇降設備","トイレ","公衆電話","その他の設備","備考","カテゴリー","経度","緯度","分類"
"曽根クリニック","御坊市湯川町小松原536-8","和歌山県","御坊市","湯川町小松原536-8","0738-32-2500","0738-23-3673","9:00～12:00、15:00～18:00","地上１階","木、日、祝日","◎一般駐車場　有り：１１台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（玄関ホール横）","","◎車椅子の常備　有り：１台","◎バリアフリーとなるよう心がけています。<br>◎障害者の方が希望されれば、開院時間のみですが、トイレのみの利用に来て頂いても結構です。","医療施設","135.151735401297","33.9043402894726","医療施設"
"洗心会玉置病院","田辺市上屋敷町147","和歌山県","田辺市","上屋敷町147","0739-22-6028","0739-25-2825","","地上６階","","◎一般駐車場　有り：２３台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：４箇所（１～４階　建物中心部）<br>◎洋式大便所　有り：１１箇所<br>◎手すり付便所　有り：１８箇所","","","","医療施設","135.376216102786","33.7309158260828","医療施設"
"国立病院機構南和歌山医療センター","田辺市たきない町27-1","和歌山県","田辺市","たきない町27-1","0739-26-7050（代表）<br>0739-26-7195（時間外緊急）","0739-24-2055","8:30～11:00（受付)","地上６階、地下１階","土、日、祝日、年末年始","◎一般駐車場　有り：３０８台<br>◎障害者用駐車場　有り：６台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：５箇所（外来用各便所内）<br>◎洋式大便所　有り：１０箇所<br>◎手すり付便所　有り：５箇所","◎車椅子用電話　有り：１箇所","◎授乳室　有り：１室<br>◎車椅子の常備　有り：１５台<br>◎キャッシュコーナー　有り","","医療施設","135.399680130712","33.7006571081746","医療施設"
"新宮市立医療センター","新宮市蜂伏18-7","和歌山県","新宮市","蜂伏18-7","0735-31-3333（代表)","0735-31-3337","8:30～11:00（お見舞い：14:00～19:00）","地上６階、地下１階","土・日・祝日（お見舞いのみの場合は休みなし）","◎一般駐車場　有り：３４０台<br>◎障害者用駐車場　有り：７台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り<br>◎他の誘導設備：案内係","◎一般案内　有り<br>◎点字による案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）<br>◎エスカレーター　有り","◎障害者（車椅子）用便所　有り：１０箇所（B1,1,2,3,4,5,6階）<br>◎洋式大便所　有り：２５箇所<br>◎手すり付便所　有り：８箇所","◎車椅子用電話　有り：６箇所","◎車椅子の常備　有り：８～１０台<br>◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","◎各病室にトイレ設置。<br>◎車椅子用電話は1,2,3,4,5,6階に　有り。","医療施設","135.964251547271","33.686959104563","医療施設"
"医療法人両茂会岩崎病院","新宮市三輪崎1384","和歌山県","新宮市","三輪崎1384","0735-31-7153","0735-31-5655","外来：9:00～正午","地上２階","外来：日・祝日<br>土曜日：特別予約診のみ","◎一般駐車場　有り：２０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","医療施設","135.980610850368","33.6915324345279","医療施設"
"さとう眼科","新宮市井の沢12-6","和歌山県","新宮市","井の沢12-6","0735-28-0310","0735-28-0311","9:00～18:00","地上２階","木(午後)、土・日・祝日","◎一般駐車場　有り：２１台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（ロビー）<br>◎洋式大便所　有り：１箇所","","◎車椅子の常備　有り：１台（ロビー）","","医療施設","135.989752788208","33.7219363382104","医療施設"
"恵友会下津クリニック","海南市下津町小南126-1","和歌山県","海南市","下津町小南126-1","073-492-5131","073-492-0085","9:00～12:00","地上４階","日、祝日、年末年始","◎一般駐車場　有り：１５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り（低位置操作盤）","◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り","","医療施設","135.168117964725","34.1280347089445","医療施設"
"デイサービスセンター下津グループホームひだまり","海南市下津町方498-25","和歌山県","海南市","下津町方498-25","073-493-3300","073-493-3770","9:00～15:30","地上３階","日曜日","◎一般駐車場　有り：８台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：２箇所<br>◎洋式大便所　有り：１５箇所<br>◎手すり付便所　有り：５箇所","","◎車椅子の常備　有り：４台（玄関）<br>◎車椅子用の浴室　有り","◎車椅子用の浴室では、日本庭園を眺めながら入浴できます。","医療施設","135.145786970088","34.1242012647825","医療施設"
"国保野上厚生総合病院","海草郡紀美野町小畑１９８","和歌山県","海草郡紀美野町","小畑１９８","073-489-2178","073-489-5639","診療受付　8:30～11:30","地上５階、地下１階","日曜、祝日","◎一般駐車場　有り：１２３台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：５箇所（各階に１箇所）<br>◎洋式大便所　有り：８箇所<br>◎手すり付便所　有り：８箇所","","◎車椅子の常備　有り","◎一般駐車場より玄関までは道路を横断します。<br>◎障害者用（車イス）便所の手すり等を障害者の状態に応じて使いやすい様に各便所で工夫しています。","医療施設","135.29505158186","34.1632551703374","医療施設"
"町営国吉診療所","海草郡紀美野町田63","和歌山県","海草郡紀美野町","田63","073-498-0002","073-498-0003","9:00～17:15","地上１階","月・水(午前)、金(午前)　※祝日は除く","","◎施設入口への車椅子利用：可","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（受付側）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","医療施設","135.415534053058","34.1395593374199","医療施設"
"町営長谷毛原診療所","海草郡紀美野町毛原宮254","和歌山県","海草郡紀美野町","毛原宮254","073-499-0300","073-499-0300","9:00～17:15","地上１階","火・水(午後)、金(午後)　※祝日は除く","","◎施設入口への車椅子利用：可","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（受付側）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","医療施設","135.461646118511","34.1623821616748","医療施設"
"独立行政法人国立病院機構和歌山病院","日高郡美浜町和田1138","和歌山県","日高郡美浜町","和田1138","0738-22-3256","0738-23-3104","8:30～17:15","地上２階","土、日、祝日","◎一般駐車場　有り：７０台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り◎点字案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り","◎障害者（車椅子）用便所　有り：１５箇所（各病棟、１階、２階）<br>◎洋式大便所　有り：３４箇所<br>◎手すり付便所　有り：３４箇所","◎車椅子用電話　有り：５箇所","◎車椅子の常備　有り：７台<br>◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","医療施設","135.135483557239","33.8924496782081","医療施設"
"医療法人寺田医院","日高郡由良町里57-2","和歌山県","日高郡由良町","里57-2","0738-65-0027","0738-65-0531","9:00～12:00、16:00～19:00","地上３階","日、祝日、土曜午後","◎一般駐車場　有り：１０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：２箇所（１階・２階）<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：３箇所","◎車椅子用電話　有り","◎車椅子の常備　有り：１台","","医療施設","135.119376310256","33.9608060172102","医療施設"
